REGION,BUCKETNAME,FILENAME,DOWNLOADTIME,download(s)
us-west-2,germadoregon,1MB.bin,2847,2.847
eu-central-1,germadfrankfurt,1MB.bin,598,0.598
ap-south-1,germadmumbai,1MB.bin,2341,2.341
us-west-2,germadoregon,5MB.bin,4521,4.521
eu-central-1,germadfrankfurt,5MB.bin,1341,1.341
ap-south-1,germadmumbai,5MB.bin,3868,3.868
us-west-2,germadoregon,10MB.bin,5878,5.878
eu-central-1,germadfrankfurt,10MB.bin,1821,1.821
ap-south-1,germadmumbai,10MB.bin,5838,5.838
us-west-2,germadoregon,15MB.bin,7746,7.746
eu-central-1,germadfrankfurt,15MB.bin,2295,2.295
ap-south-1,germadmumbai,15MB.bin,6200,6.2
us-west-2,germadoregon,20MB.bin,8488,8.488
eu-central-1,germadfrankfurt,20MB.bin,3032,3.032
ap-south-1,germadmumbai,20MB.bin,7675,7.675
us-west-2,germadoregon,30MB.bin,10532,10.532
eu-central-1,germadfrankfurt,30MB.bin,4298,4.298
ap-south-1,germadmumbai,30MB.bin,8986,8.986
